contraction,expansion
merem,menutup mata
met,selamat
slamet,selamat
sugeng,selamat
mgkn,mungkin
mbok menowo,mungkin
jangan2,mungkin
mhn,mohon
nyuwun,mohon
migren,migrain
mik,mikrofon
miker,minum keras
mabuk,minum keras
miras,minum keras
milis,mailing list
ahad,minggu
minjem,pinjam
nyilih,pinjam
ngampil,pinjam
jaluk,minta
njaluk,minta
mj,meja
mk,maka
mkah,makalah
mkan,makan
mkin,makin
mtr,motor
motor,sepeda motor
pit montor,sepeda motor
muahal,mahal
larang,mahal
muantab,mantap
murmer,murah meriah
muter,berputar
mubeng,berputar
mvp,pemain terbaik
best player,pemain terbaik
mw,mau
n,dan
naek,naik
munggah,naik
nagh,anak
lare,anak
najis,jijik
gumoh,jijik
nak,anak
nanya,bertanya
takon,bertanya
tanglet,bertanya
napi,narapidana
napsu,nafsu
narsis,bangga diri
nasgor,nasi goreng
sego goreng,nasi goreng
ndiri,sendiri
sendirian,sendiri
dewe,sendiri
piyambak,sendiri
ne,ini
iki,ini
niku,ini
nelfon,menelepon
nelpon,menelepon
telpon,telepon
nemu,menemukan
nemokake,menemukan
neng,adik
net,internet
ngaku,mengaku
ngakoni,mengaku
ngalamin,mengalami
ngalami,mengalami
ngambek,marah
nesu,marah
duko,marah
ngantuk,mengantuk
ngarep,berharap
ngebut,cepat
ngece,mengejek
ngelek elek,mengejek
ngenyek,mengejek
ngekos,tinggal di kos
kos,indekos
ngeles,berkilah
ngelak,berkilah
ngeluh,mengeluh
ngemil,makan ringan
ngenes,sedih
susah,sedih
nelongso,sedih
ngepost,mengirim
posting,mengirim
ngerasa,merasa
rumangsa,merasa
ngerjain,mengerjai
nggarap,mengerjai
ngeselin,menyebalkan
mangkelno,menyebalkan
ngetwit,menulis tweet
nggu,nunggu
nunggu,menunggu
ngenteni,menunggu
ngentosi,menunggu
ngiler,tergoda
kepengen,tergoda
ngiri,iri
ngisiin,mengisi
ngisi,mengisi
ngong,bingung
ngopi,minum kopi
ngreply,membalas
nih,ini
nimbrung,ikut bergabung
ikut,ikut serta
melu,ikut serta
nip,nomor induk pegawai
nipon,jepang
nlfn,menelepon
nmr,nomor
nomer,nomor
nntn,nonton
nobar,nonton bareng
nolong,menolong
nulungi,menolong
nongkrong,kumpul
noob,pemula
newbie,pemula
nubie,pemula
cupu,pemula
norak,kampungan
ndeso,kampungan
ntabs,mantap
ntar,nanti
mengko,nanti
ntn,nonton
ntr,nanti
numpuk,bertumpuk
numplek,bertumpuk
nw,menawarkan
nawani,menawarkan
nymn,nyaman
nyokap,ibu
nyusul,menyusul
nusul,menyusul
o,oleh
karo,oleh
ogah,tidak mau
ora gelem,tidak mau
emoh,tidak mau
okay,oke
okey,oke
oles,oleh
om,paman
pakde,paman
omdo,omong doang
omong kosong,omong doang
onlen,daring
online,daring
oot,keluar topik
ortu,orang tua
wong tuo,orang tua
otak,pikiran
otw,sedang di jalan
dijalan,sedang di jalan
p,pergi
pacar,kekasih
ayang,kekasih
paketin,memaketkan
pala,kepala
sirah,kepala
mustaka,kepala
pansos,panjat sosial
parah,buruk
parno,takut
pasutri,pasangan suami istri
pd,pada
pede,percaya diri
pedes,pedas
pegel,lelah
pejwan,halaman satu
pelis,tolong
pen,ingin
peres,palsu
pesen,pesan
order,pesan
pg,pagi
esuk,pagi
enjing,pagi
pgn,ingin
pic,gambar
foto,gambar
pik,pikiran
pinter,pintar
cerdas,pintar
pandai,pintar
pisan,sangat
pol,sangat
pk,pakai
pke,pakai
pl,pula
plg,paling
pm,pesan pribadi
japri,pesan pribadi
dm,pesan pribadi
pngn,ingin
pnjg,panjang
dowo,panjang
po,pesan dulu
preorder,pesan dulu
ponakan,keponakan
pr,pekerjaan rumah
pe er,pekerjaan rumah
prcaya,percaya
percoyo,percaya
prcy,percaya
prei,libur
prg,pergi
priksa,periksa
cek,periksa
prnh,pernah
promot,promosi
prov,provinsi
psn,pesan
pst,pasti
psti,pasti
ptg,potong
iris,potong
puanas,panas
sumuk,panas
pub,publikasi
pulang,kembali
balik,kembali
mulih,kembali
kondur,kembali
nuwun sewu,permisi
puyeng,pusing
pny,punya
nduwe,punya
gadah,punya
q,aku
qt,kita
rame,ramai
rcti,rajawali citra televisi indonesia
rebes,beres
beres,selesai
mari,selesai
rampung,selesai
reg,regional
rejeki,rezeki
rek,rekening
rempong,repot
riweuh,repot
rest,istirahat
ngaso,istirahat
leren,istirahat
resync,sinkronisasi ulang
ripiu,ulasan
review,ulasan
ripost,kirim ulang
repost,kirim ulang
rotfl,tertawa terbahak-bahak
rt,rukun tetangga
ru,baru
ruame,ramai
ruko,rumah toko
rusuh,ribut
gawedan,ribut
rw,rukun warga
salken,salam kenal
sam,sama
sange,nafsu
sapose,siapa
sarkas,sarkastik
sato,binatang
binatang,hewan
kewan,hewan
loro,sakit
gerah,sakit
salting,salah tingkah
grogi,salah tingkah
samsek,sama sekali
blas,sama sekali
santuy,santai
selo,santai
slow,santai
selow,santai
sbh,sebuah
siji,sebuah
sblm,sebelum
sakdurunge,sebelum
sblmnya,sebelumnya
sbnr,sebenarnya
sakjane,sebenarnya
sbnrnya,sebenarnya
sdg,sedang
lagi,sedang
nembe,sedang
sdgkn,sedangkan
sdkt,sedikit
sitik,sedikit
sakedik,sedikit
sdkit,sedikit
sdr,saudara
se7,setuju
stuju,setuju
sreg,setuju
cocok,setuju
sebel,kesal
sedeng,gila
sejenis,seperti
seklh,sekolah
sekseh,seksi
selpi,selfie
selfie,swafoto
semangka,semangat
spirit,semangat
semok,seksi
sempak,celana dalam
cd,celana dalam
sendratari,seni drama tari
sene,sana
kono,sana
seng,yang
sentrap,sentral
sentral,pusat
seo,optimasi mesin pencari
sgt,sangat
shg,sehingga
shot,foto
sia,saja
ready,siap
sikon,situasi kondisi
sim,surat izin mengemudi
sinetron,sinema elektronik
sinyo,tuan muda
ska,suka
skalian,sekalian
skdr,sekadar
sklh,sekolah
skrg,sekarang
skrng,sekarang
sakniki,sekarang
sl,selalu
tansah,selalu
slah,salah
keliru,salah
kliru,salah
slh,salah
slm,salam
slmat,selamat
slonjoran,berselonjor
slsai,selesai
smw,semua
kabeh,semua
sedaya,semua
sndri,sendiri
sng,senang
bungah,senang
sngt,sangat
sok,pura-pura
pura2,pura-pura
ethok ethok,pura-pura
sokil,gaul
songong,sombong
kemaki,sombong
sop,standar operasional prosedur
sotoy,sok tahu
keminter,sok tahu
spa,siapa
sp,siapa
spik,berbohong
sppa,siapa
sr,saudara
sriusan,seriusan
tenan,serius
srt,surat
layang,surat
st,setengah
separo,setengah
stby,siaga
standby,siaga
stiap,setiap
saben,setiap
stlh,setelah
bar,setelah
stnk,surat tanda nomor kendaraan
struck,struk
nota,struk
std,standar
sub,langganan
subscribe,langganan
suer,sumpah
t4,tempat
gon,tempat
papan,tempat
tablo,bodoh
goblok,bodoh
pekok,bodoh
bego,bodoh
tauk,tahu
taw,tahu
td,tadi
wau,tadi
tdi,tadi
teh,kakak
telat,terlambat
kasip,terlambat
tengil,menyebalkan
tepar,terkapar
teler,mabuk
tercyduk,tertangkap
keciduk,tertangkap
kegrebek,tertangkap
tering,teringat
kelingan,teringat
kemutan,teringat
teteh,kakak
tg,tentang
tgl,tanggal
tgu,tunggu
th,tahun
taun,tahun
thengkyu,terima kasih
thebest,terbaik
paling apik,terbaik
thn,tahun
tilang,bukti pelanggaran
tipi,televisi
tipu,bohong
tks,terima kasih
tl,telepon
tlp,telepon
tman,teman
tml,tamat
tamat,selesai
tmp,tempat
tmpt,tempat
tnda,tanda
tnggu,tunggu
tnh,tanah
lemah,tanah
siti,tanah
tntg,tentang
tny,tanya
warung,toko
kedai,toko
tol,bodoh
tolongin,tolong
top,terbaik
trf,transfer
trgntg,tergantung
gumantung,tergantung
trhdp,terhadap
trkhr,terakhir
pungkasan,terakhir
trlalu,terlalu
kebangeten,terlalu
trm,terima
trima,terima
nampa,terima
nampi,terima
trmksh,terima kasih
trms,terima kasih
trnyt,ternyata
jebule,ternyata
trnyta,ternyata
trsrh,terserah
sakarepmu,terserah
karepmu,terserah
tru,taruh
deleh,taruh
ts,pengirim asli
tst,tes
uji,tes
ttd,tertanda
ttg,tentang
tuh,itu
tv,televisi
tw,tahu
twt,tweet
tweet,cuitan
u,kamu
ujg,ujung
pucuk,ujung
ul,ulang
baleni,ulang
ulti,kemampuan pamungkas
skill ultimate,kemampuan pamungkas
jururs pamungkas,kemampuan pamungkas
up,naik
val,nilai
poin,nilai
skor,nilai
valid,sah
resmi,sah
vid,video
vroh,kakak
w/,dengan
wadir,wakil direktur
wae,saja
wak,bapak
wakil,perwakilan
wakuncar,waktu kunjung pacar
wanna,ingin
warbyasah,luar biasa
apik banget,luar biasa
warkop,warung kopi
wass,wasalam
wat,buat
weh,saja
well,baik
sae,baik
wenak,enak
eco,enak
sedap,enak
what,apa
who,siapa
wil,wilayah
daerah,wilayah
with,dengan
wjb,wajib
wjh,wajah
rai,wajah
pasuryan,wajah
wjr,wajar
pantes,wajar
wna,warga negara asing
bule,warga negara asing
wni,warga negara indonesia
wokey,oke
wow,kagum
takjub,kagum
wp,bagus
well played,bagus
wta,ingin bertanya
wth,apa-apaan
apa apaan,apa-apaan
wts,ingin menjual
yaa,iya
yah,ya
yahud,hebat
jos,hebat
yak,ya
ygy,ya guys ya
ya ges ya,ya guys ya
yok,ayo
you,kamu
your,milikmu
youtu,kamu juga
z,tidur
afk,pergi sebentar
away,pergi sebentar
buff,peningkatan kekuatan
nerf,penurunan kekuatan
gank,sergapan
ganking,melakukan sergapan
push,dorong jalur
def,bertahan
defense,bertahan
mid,jalur tengah
bot,jalur bawah
lane,jalur
jungle,hutan
farm,mencari sumber daya
farming,sedang mencari sumber daya
meta,strategi populer
build,susunan item
item,barang
cooldown,waktu jeda
health points,poin kesehatan
nyawa,poin kesehatan
darah,poin kesehatan
exp,poin pengalaman
experience,poin pengalaman
lvl,level
level,tingkat
party,grup
guild,kelompok pemain
clan,kelompok pemain
mmr,peringkat matchmaking
elo,peringkat matchmaking
ranked,mode peringkat
unranked,mode biasa
patch,pembaruan game
bug,kesalahan program
glitch,kesalahan program
ping,latensi jaringan
dc,terputus
disconnect,terputus
reconnect,menyambung kembali
carry,pemain utama penyerang
support,pemain pendukung
tank,pemain bertahan utama
mage,penyihir
assassin,pembunuh
fighter,petarung
marksman,penembak jitu
adc,penyerang jarak jauh utama
spam,mengirim pesan berlebihan
toxic,berperilaku buruk
ggwp,permainan bagus
bngt,banget
bner,benar
bnr,benar
bener²,benar-benar
